id,title,status,action,time_min,context,cost,priority,blocked_by,decision_needed,doc_link,requires_car_down,requires_parts,notes
KEY-001,Add timestamped BLE and Nearby Interaction lifecycle logging,ready,code,60,computer,0,high,,,PROJECT_CHECKLIST.md#2-ios--celikey-app,false,false,Log BLE disconnect/connect; NI suspend/resume/start; first valid UWB range; secure-bubble enter/exit
KEY-002,Repeat long-away return tests and isolate reacquisition delay,blocked,bench-test,60,bench,0,high,KEY-001,,PROJECT_CHECKLIST.md#1-core-uwb--iphone-proof-of-concept,false,false,Run multiple locked-phone away/return cycles and identify which timestamped event dominates the ~13 s delay
KEY-003,Reduce Qorvo-derived iOS sample into minimal CeliKey app,blocked,code,120,computer,0,medium,KEY-001,,PROJECT_CHECKLIST.md#2-ios--celikey-app,false,false,Remove demo/MQTT functionality; rename/reduce project; preserve known-good background operation throughout cleanup
KEY-004,Characterize RDA idle/high/low voltage and output topology,blocked,vehicle-test,30,car,0,critical,KEY-028,,PROJECT_CHECKLIST.md#3-vehicle-rda-characterization,false,true,Scope is available; positively identify the installed RDA wire before measuring voltage polarity and likely source/sink topology
KEY-005,Capture at least 10 factory RDA LOCK commands,blocked,vehicle-test,45,car,0,critical,KEY-029,,PROJECT_CHECKLIST.md#3-vehicle-rda-characterization,false,true,Record ignition state door state lock state chirp light flash actuator result and raw waveform
KEY-006,Capture at least 10 factory RDA UNLOCK commands,blocked,vehicle-test,45,car,0,critical,KEY-029,,PROJECT_CHECKLIST.md#3-vehicle-rda-characterization,false,true,Record ignition state door state lock state chirp light flash actuator result and raw waveform
KEY-007,Document decoded RDA frame structure and timing,blocked,document,45,computer,0,high,KEY-005;KEY-006;KEY-030;KEY-032,,CELIKEY_PCB_CONCEPT.md#8-rda-characterization-plan,false,false,Record waveform levels timing framing repeatability and confidence; separate observations from interpretation
KEY-008,Replay captured RDA LOCK command through safe isolation fixture,blocked,vehicle-test,60,car,0,critical,KEY-034,,PROJECT_CHECKLIST.md#4-rda-replay--lock-integration,false,true,Controlled first replay only after passive characterization and safe isolation fixture exist
KEY-009,Replay captured RDA UNLOCK command through safe isolation fixture,blocked,vehicle-test,60,car,0,critical,KEY-034,,PROJECT_CHECKLIST.md#4-rda-replay--lock-integration,false,true,Controlled replay; observe staged unlock behavior if applicable
KEY-010,Test one-node UWB vehicle coverage and inside/outside discrimination,ready,vehicle-test,60,car,0,high,,,PROJECT_CHECKLIST.md#6-vehicle-rf--placement-testing,false,true,Temporarily mount at proposed behind-mirror location; test driver passenger front rear and representative phone positions
KEY-011,Measure parked current of current prototype architecture,ready,measure,30,bench,0,high,,,PROJECT.md#vehicle--hardware,false,true,Establish an early current-draw baseline before final low-power design
KEY-012,Define parked-current budget and sleep/wake strategy,blocked,research,60,desk,0,high,KEY-011,,PROJECT_CHECKLIST.md#7-power--harness-definition,false,false,Translate measurements into subsystem current budget sleep states wake triggers and acceptable vehicle-battery impact
KEY-013,Bench-characterize JDM mirror electrical behavior,ready,bench-test,60,bench,0,high,,,PROJECT_CHECKLIST.md#5-power-folding-mirrors,false,true,Confirm fold/unfold wires and polarity; measure startup/running/end-stop current and observe end-stop behavior
KEY-014,Select final mirror-driver topology,blocked,research,45,desk,0,medium,KEY-013;KEY-039,DEC-KEY-001,PROJECT_CHECKLIST.md#5-power-folding-mirrors,false,false,Choose automotive-capable driver topology after motor and OEM-switch coexistence are understood
KEY-015,Source M3 T-harness housings and spare terminals,ready,buy,20,phone,,medium,,,PROJECT.md#overhead-power-t-harness--connector-identified,false,true,Acquire both mating housings plus spare male/female contacts for crimp setup and testing
KEY-016,Build temporary removable M3 T-harness for Rev 0,blocked,fabricate,60,bench,25,medium,KEY-015;KEY-048,,PROJECT_CHECKLIST.md#7-power--harness-definition,false,true,Spliced prototype is acceptable; retain straight-through OEM functions and add protected B+ branch
KEY-017,Validate temporary M3 power harness in vehicle,blocked,vehicle-test,30,car,0,medium,KEY-016;KEY-046;KEY-047,,PROJECT_CHECKLIST.md#7-power--harness-definition,false,true,Confirm constant B+ true ground continuity and no adverse effect on overhead functions
KEY-018,Select automotive input protection for PCB-integrated power branch,blocked,research,60,desk,0,medium,KEY-017;KEY-012,DEC-KEY-002,PROJECT_CHECKLIST.md#7-power--harness-definition,false,false,Define fuse/reverse/transient/load-dump protection appropriate to Rev A
